site_ID,begin_year,end_year,stem,ANPP_wood,ANPP_tree,NPP_tot1,NPP_tot2
US-arl-D01,1995,1995,,,,2222.0,
US-arl-D01,1996,1996,,,,2556.0,
US-arl-D01,1997,1997,,,,2511.0,
US-arl-D01,1998,1998,,,,2711.0,
US-arl-D01,1999,1999,,,,2511.0,
IT-bea-D01,2007,2007,,,,2473.0,
IT-bea-D01,2008,2008,,,,2060.0,
CN-efn-D01,2009,2009,,,,867.0,
CN-efn-D02,2010,2010,,,,493.0,
CN-fns-D01,2002,2002,,,,1404.0,
CN-fns-D02,2002,2002,,,,642.0,
CN-fuk-D01_I,2009,2009,,,,1440.0,
CN-fuk-D01_I,2010,2010,,,,869.0,
CN-jin-D01,2005,2005,,,,2664.0,
US-kan-D01,2002,2002,,,,2009.0,
US-kbs-D12,2010,2010,,,,3150.0,
US-kbs-D13,2010,2010,,,,2455.0,
SE-kje-D01,1982,1983,,,,1200.0,
BE-Lon-F02,2004,2004,,,,2463.0,
JP-mas-F01,2002,2002,,,,1756.0,
JP-mas-F01,2003,2003,,,,1258.0,
JP-mik-D01,1999,1999,,,,482.0,
JP-mik-D11,2005,2005,,,,432.0,
JP-mik-D01,2000,2000,,,,487.0,
JP-mik-D03,2003,2003,,,,400.0,
JP-mik-D05,2003,2003,,,,776.0,
JP-mik-D07,2003,2003,,,,675.0,
JP-mik-D09,2005,2005,,,,637.0,
US-nas-D01,2001,2001,,,,1736.0,
JP-nii-D01,1985,1987,,,,1369.0,
JP-nii-D02,1985,1987,,,,1392.0,
JP-nii-D03,1985,1987,,,,3017.0,
US-NSP-D02,2006,2006,,,,921.0,
CN-sac-D01,2007,2007,,,,582.0,
JP-shi-D01,1999,1999,,,,1496.0,
US-une-D01,2001,2001,,,,2447.0,
US-une-D01,2002,2002,,,,2349.0,
US-une-D01,2003,2003,,,,2251.0,
US-une-D02,2001,2001,,,,2362.0,
US-une-D02,2003,2003,,,,2447.0,
US-une-D03,2002,2002,,,,1168.0,
US-wis-D03,2002,2002,,,,383.0,
CN-wux-D01,2002,2003,,,,1074.0,
CN-Yuc-D01,2003,2003,,,,998.0,
CN-Yuc-D02,2003,2003,,,,1422.0,
CL-AAn-D01,2011,2012,,210.0,444.0,756.0,
CL-AAn-D02,2011,2012,,260.0,508.0,820.0,
CL-ACn-D01,2011,2012,,208.0,708.0,882.0,
CL-ACn-D02,2011,2012,,170.0,634.0,810.0,
CO-agp-D01,2004,2006,680.0,880.0,1660.0,,
CO-agp-D02,2004,2006,760.0,961.0,1700.0,,
IN-al1-D01,1990,1990,305.0,808.0,1162.0,1961.0,
IN-al2-D01,1990,1990,380.0,898.0,1168.0,1895.0,
IN-al3-D01,1990,1990,450.0,914.0,1528.0,2488.0,
US-and-D01,2001,2001,1012.0,1226.0,1576.0,2320.0,
US-and-D02,2001,2001,772.0,922.0,1257.0,1865.0,
GH-ank-D01,2011,2015,280.0,640.0,1520.0,2500.0,
SE-asa-D01,2001,2004,467.0,667.0,869.0,1247.0,
JP-asR-D01,1999,2001,184.0,222.0,565.0,,
JP-asV-D01,1999,2002,270.0,441.0,859.0,,
FR-aub-D01,1995,1995,192.0,404.0,672.0,,
FR-aub-D02,1995,1995,288.0,501.0,700.0,,
BR-BdP-D01,2011,2012,,280.0,860.0,1720.0,1800.0
BR-BdP-D01,2012,2013,,400.0,760.0,1940.0,2000.0
BR-BdP-D01,2011,2012,,,,,380.0
BR-BdP-D01,2012,2013,,,,,620.0
US-Blo-F01,2002,2002,,,,,1758.0
US-Blo-F01,2001,2001,,,,,1320.0
GH-bog-D01,2011,2015,500.0,580.0,2200.0,3020.0,
DE-bor-D01,1993,1993,,476.0,1067.0,,
DE-bor-D01,1992,1992,,484.0,1086.0,,
DE-bor-D02,1993,1993,,540.0,1028.0,,
DE-bor-D02,1992,1992,,364.0,1167.0,,
US-Boz-D01,1998,1999,,28.0,39.0,,
US-Boz-D02,1998,1999,,56.0,78.0,,
US-Boz-D03,1998,1999,,24.0,33.0,,
BE-Bra-F01,2000,2004,550.0,900.0,1340.0,,
BE-Bra-F02,2000,2004,40.0,90.0,310.0,,
ID-B12-D01,2012,2014,,1030.0,2010.0,,
ID-B12-D02,2012,2014,,740.0,1500.0,,
ID-B12-D03,2012,2014,,520.0,930.0,,
ID-B12-D04,2012,2014,,620.0,1340.0,,
BR-cad-D01,2005,2005,,620.0,1419.0,1979.0,2079.0
BR-cad-D01,2005,2005,520.0,720.0,1440.0,2320.0,
EC-caj-D01,2003,2004,15.0,52.0,236.0,1306.0,
IT-cal-D01,2010,2010,,382.0,614.0,1038.0,
US-cas-D01,1992,1992,,829.0,1039.0,,
US-cas-D02,1992,1992,,740.0,1170.0,,
US-cas-D03,2001,2001,366.0,396.0,714.0,1190.0,
US-cas-D04,2001,2001,654.0,702.0,1116.0,1831.0,
