Id,Name,Country,longitude,latitude,PI names,Site type,Elevation above sea,Station class,Labeling date
http://meta.icos-cp.eu/resources/stations/ES_DE-SfN,Schechenfilz Nord,Germany (DE),11.3275,47.80639,Schmid,wetland,590,Associated,
http://meta.icos-cp.eu/resources/stations/ES_FI-Hyy,Hyytiala,Finland (FI),24.29477,61.84741,Mammarella,evergreen needleleaf forests,181,1,2018/11/30
http://meta.icos-cp.eu/resources/stations/ES_FR-Bil,Bilos,France (FR),-0.956092,44.493652,Domec,evergreen needleleaf forests,39.18,2,2019/11/21
http://meta.icos-cp.eu/resources/stations/ES_SE-Svb,Svartberget,Sweden (SE),19.7745,64.25611,Peichl,evergreen needleleaf forests,267,2,2019/5/22
http://meta.icos-cp.eu/resources/stations/AS_LMP,Lampedusa,Italy (IT),12.6322,35.5181,Di Iorio Piacentino Sferlazzo,marine remote,45,2,2020/5/27
http://meta.icos-cp.eu/resources/stations/ES_IT-Lsn,Lison,Italy (IT),12.750297,45.740482,Pitacco,open shrublands,1,Associated,2020/11/17
http://meta.icos-cp.eu/resources/stations/ES_BE-Dor,Dorinne,Belgium (BE),4.968113,50.311874,Heinesch,grasslands,253,2,2022/11/23
http://meta.icos-cp.eu/resources/stations/ES_CH-BaK,Basel Klingelbergstrasse,Switzerland (CH),7.58049,47.56173,Stagakis,urban and built-up lands,273,Associated,2024/11/6
http://meta.icos-cp.eu/resources/stations/ES_IT-OXm,Osservatorio Ximeniano Firenze,Italy (IT),11.255111,43.774464,Gioli,urban and built-up lands,66,Associated,2024/5/14
http://meta.icos-cp.eu/resources/stations/ES_SE-Nor,Norunda,Sweden (SE),17.479504,60.0865,Kljun Kljun,evergreen needleleaf forests,58,2,2018/11/30
http://meta.icos-cp.eu/resources/stations/ES_FI-Sii,Siikaneva,Finland (FI),24.19285,61.83265,Tuittila,permanent wetlands,164,2,2017/11/17
http://meta.icos-cp.eu/resources/stations/ES_IT-TrF,Torgnon-LD,Italy (IT),7.56089,45.82376,Galvagno,deciduous needleleaf forests,2100,Associated,2024/5/14
http://meta.icos-cp.eu/resources/stations/ES_FI-Ouk,Oulanka,Finland (FI),29.30768,66.37752,Paavola,wetland,,Associated,
http://meta.icos-cp.eu/resources/stations/OS_58US,Kronprins Haakon,Norway (NO),,,Fransson,soop,-4,2,2020/11/17
http://meta.icos-cp.eu/resources/stations/AS_IZO,Izaña,Spain (ES),-16.499,28.309,Rivas-Soriano,mountain,2372.9,2,2023/5/23
http://meta.icos-cp.eu/resources/stations/ES_CZ-BK1,Bily Kriz forest,Czech Republic (CZ),18.536882,49.502075,Šigut,evergreen needleleaf forests,881,2,2022/5/18
FKL,Finokalia,Greece (GR),25.6696,35.3376,Kanakidou  Mihalopoulos,mountain,,2,
http://meta.icos-cp.eu/resources/stations/ES_UK-AMo,Auchencorth Moss,United Kingdom of Great Britain and Northern Ireland (GB),-3.2436917,55.792545,Nemitz,permanent wetlands,268,1,2021/11/17
http://meta.icos-cp.eu/resources/stations/ES_NO-Hur,Hurdal,Norway (NO),11.07949,60.37163,Lange,evergreen needleleaf forests,275.1308,2,2023/11/15
http://meta.icos-cp.eu/resources/stations/OS_PALOMA,PALOMA,Italy (IT),13.5658,45.6204,Cantoni,fixed station,-3,1,2018/11/30
CUXHAVEN,DE-FOS-Cuxhaven,Germany (DE),8.704878,53.87706,Voynova,fixed station,-5,2,
