site_ID,latitude,longitude
AR-ach-D01,-31.6,-64.8
AR-des-D02,-38.2,-62.3
AU-kow-D01,-35.33,149.325
AU-kow-D02,-35.33,149.325
AU-pcf-D01_C,-35.35,148.93
AU-pcf-D01_FI,-35.35,148.93
AU-tum-D01,-35.66,148.17
BE-Bra-F01,51.31,4.52
BE-Bra-F02,51.31,4.52
BE-lcr-F01,51.11,3.85
BE-Lon-F02,50.55219,4.744772
BO-ked-D01,-16.02,-62.73
BO-kew-D01,-16.02,-62.73
BR-BdP-D01,-16.498,-56.413
BR-cad-D01,-1.72,-51.5
BR-cax-D01,-1.72,-51.5
BR-cax-F01,-1.72,-51.5
BR-cui-D01,-2.58,-60.1
BR-faz-D01,-15.731,-56.071
BR-it1-D01,-23.03,-48.63
BR-it2-D01,-23.03,-48.6
BR-it3-D01,-23.03,-48.6
BR-jac-D01,-2.6,-60.2
BR-tan-D01,-23.03,-48.6
BR-tap-D01,-2.81,-54.95
BR-tap-D02,-3,-54.95
CA-alf-D01,78.9,-75.92
CA-ble-D01,54.68,-113.47
CA-fbn-D01,55.91,-98.42
CA-fbn-D02,55.91,-98.42
CA-fbn-D03,55.91,-98.42
CA-fbn-D04,55.91,-98.42
CA-kin-D01,53.15,-111.92
CA-Let-F01,49.7092,-112.9403
CA-mat-D01,50.7,-102.72
CA-mer-F01,45.4094,-75.5187
CA-NS1-F01,55.9,-98.47
CA-NS3-F01,55.88,-98.33
CA-NS5-F01,55.88,-98.33
CA-Oas-F01,53.63,-106.2
CA-Obs-F01,53.92,-104.68
CA-Ojp-F01,53.92,-104.68
CA-qfo-F01,49.69,-74.34
CA-SJ3-F01,53.876,-104.645
CA-syl-D01,55.98,-112.52
CA-Tas-D01,55.9,-98.47
CA-Tjp-D01,55.9,-98.47
CA-TP1-F01,42.66,-80.56
CA-TP2-F01,42.77,-80.46
CA-TP3-F01,42.71,-80.36
CA-TP4-F01,42.71,-80.35
CA-tru-D01,75.55,-84.67
CA-wbr-D01,50.47,-104.37
CG-ki1-D01,-4.73,12.02
CG-ki2-D01,-4.73,12.02
CG-ki3-D01,-4.73,12.02
CG-tch-D01,-4.2892,11.6564
CH-fur-D01_C,46.58,8.38
CH-fur-D01_F,46.58,8.38
CH-jur-D01,47.55,7.57
CH-Lae-F01,47.48,8.37
CI-lmt-D01,6.33,-5.02
CI-lmt-D02,6.33,-5.02
CI-lmt-D03,6.33,-5.02
CI-lmt-D04,6.33,-5.02
CI-lmt-D05,6.33,-5.02
CI-lmt-D06,6.33,-5.02
CI-lmt-D07,6.33,-5.02
CL-AAn-D01,-41.53,-72.58
CL-AAn-D02,-41.53,-72.58
CL-ACn-D01,-40.17,-73.42
CL-ACn-D02,-40.17,-73.43
CN-du1-D01_C,42.45,116.68
CN-du1-D01_FI,42.45,116.68
CN-efn-D01,31.87,118.83
CN-efn-D02,31.87,118.83
CN-fns-D01,36,109
CN-fns-D02,36,109
CN-fuk-D01_I,44.28,87.93
CN-Hab-F01,37.6133,101.305
CN-He1-D01,22.34,112.5
CN-He2-D01,23.34,113.5
CN-imr-D01,43.38,116.7
CN-Inn-D01_C,43.63,116.7
CN-Inn-D01_FI,43.63,116.7
CN-Inn-D02_C,43.63,116.7
CN-Inn-D02_FI,43.63,116.7
CN-Inn-D03_C,43.53,116.66
CN-Inn-F01,43.53,116.66
CN-jin-D01,41.15,121.2
CN-muu-D01,39.38,109.18
CN-muu-D02,39.48,110.18
CN-ntp-D01,32,91.5
CN-ntp-D02,32,87
CN-ntp-D03,32,83
CN-ord-D01,39.49581,110.19739
CN-ord-D02,39.48494,110.15328
CN-ord-D03,39.48703,110.15175
CN-sac-D01,35.95,104.15
CN-san-D01,47.58,133.52
CN-san-D02,47.58,133.52
CN-san-D03,47.58,133.52
CN-san-D04,47.58,133.52
CN-san-D05,47.58,133.52
CN-tum-D01,46.17,123
CN-wux-D01,31.62,120.47
CN-xCK-D01,26.1917,117.4333
CN-xNF-D01,26.1917,117.4333
CN-Xsh-F01,21.93,101.27
CN-yao-D01,44.75,123.75
CN-yao-D02,44.75,123.75
CN-Yuc-D01,36.95,116.6
CN-Yuc-D02,36.95,116.6
CO-agp-D01,-3.73,-70.4
CO-agp-D02,-3.72,-70.3
CO-mat-D01,4.17089,-72.65
CO-Zaf-D01,-4,-69.9
CR-se1-D01,10.43,-83.98
CR-se2-D01,10.43,-83.98
CR-se3-D01,10.43,-83.98
CR-se4-D01,10.43,-83.98
CR-se5-D01,10.43,-83.98
CZ-jez-D01,50.55,13.46
CZ-kam-D01,49.73,15.97
CZ-mok-D01,49.02,14.77
CZ-mok-D02,49.02,14.77
CZ-nac-D01,50.58,13.25
DE-bor-D01,54.1,10.23
DE-bor-D02,54.1,10.23
DE-gri-D01,50.9494,13.5125
DE-Hai-F01,51.08,10.45
DE-sch-D01,50.06,11.83
DE-sol-D01,51.82,9.58
DE-Tha-F01,50.96,13.57
DE-unt-D01,52.75,10.5
DE-wal-D01,50.2,11.88
