name,latitude,longitude,elevation,elevation2,species,number,Gymnosperm/Angiosperm,Needle/broad
ak001,60.43,-147.75,275,,TSHE,273,Gymnosperm,Needle
ak006,63.67,-149.58,750,,PCGL,284,Gymnosperm,Needle
ak007,61.33,-149.58,100,,PCGL,214,Gymnosperm,Needle
ak008,60.5,-149.5,100,,PCSI,284,Gymnosperm,Needle
ak009,62.83,-143.92,600,,PCGL,284,Gymnosperm,Needle
ak010,61.83,-147.33,960,,PCGL,284,Gymnosperm,Needle
ak011,61.33,-145.25,300,,PCGL,192,Gymnosperm,Needle
ak012,62.83,-141.33,600,,PCGL,189,Gymnosperm,Needle
ak013,64.83,-148.17,99,,PCGL,215,Gymnosperm,Needle
ak014,58.05,-152.7,10,,PCSI,297,Gymnosperm,Needle
ak015,60.08,-148.97,480,,TSME,292,Gymnosperm,Needle
ak016,60.2,-149.58,480,,PCSI,289,Gymnosperm,Needle
ak017,59.62,-151.15,20,,PCSI,270,Gymnosperm,Needle
ak018,59.68,-151.42,20,,PCSI,269,Gymnosperm,Needle
ak019,59.645,-139.311,350,,PCSI,173,Gymnosperm,Needle
ak020,60.6,-145.67,430,,TSME,293,Gymnosperm,Needle
ak021,60,-141.68,650,,TSME,296,Gymnosperm,Needle
ak022,60.25,-143.97,310,,PCSI,231,Gymnosperm,Needle
ak023,59.37,-150.83,300,,PCSI,288,Gymnosperm,Needle
ak024,60.07,-148.83,420,,TSME,293,Gymnosperm,Needle
ak025,60.73,-148.47,50,,TSME,292,Gymnosperm,Needle
ak026,60.08,-150.58,70,,PCSI,199,Gymnosperm,Needle
ak027,60.82,-149.17,400,,TSME,282,Gymnosperm,Needle
ak028,60.83,-148.58,300,,TSME,292,Gymnosperm,Needle
ak029,60.12,-149.47,305,,TSME,263,Gymnosperm,Needle
ak030,60.37,-148.9,400,,TSME,292,Gymnosperm,Needle
ak031,67.93,-162.3,67,,PCGL,278,Gymnosperm,Needle
ak032,67.45,-154.05,716,,PCGL,276,Gymnosperm,Needle
