year,mean_r
1970,0.397762
1971,0.376813
1972,0.384928
1973,0.378007
1974,0.383264
1975,0.394472
1976,0.388900
1977,0.394856
1978,0.410053
1979,0.400591
1980,0.406271
1981,0.427511
1982,0.420103
1983,0.414217
1984,0.404894
1985,0.391046
1986,0.401356
1987,0.392601
1988,0.423503
1989,0.430395
1990,0.437801
1991,0.451449
1992,0.461833
1993,0.497741
1994,0.498595
1995,0.502805
1996,0.504126
1997,0.501973
1998,0.507826
1999,0.531034
2000,0.542373
2001,0.545255
2002,0.544467
2003,0.545963
2004,0.550623
2005,0.557836
2006,0.556818
2007,0.562931
2008,0.549120
2009,0.539945
2010,0.536021
2011,0.540757
2012,0.535678
2013,0.512910
2014,0.521816
2015,0.519094
2016,0.529361
2017,0.523063
2018,0.508903
2019,0.481417
2020,0.455878
