year,mean_r
1969,0.278658
1970,0.272936
1971,0.291081
1972,0.299559
1973,0.272437
1974,0.246492
1975,0.274575
1976,0.299380
1977,0.299262
1978,0.318192
1979,0.328125
1980,0.328010
1981,0.347052
1982,0.351025
1983,0.395166
1984,0.397509
1985,0.376943
1986,0.388143
1987,0.397954
1988,0.436849
1989,0.436494
1990,0.452054
1991,0.444958
1992,0.427390
1993,0.435362
1994,0.440580
1995,0.398936
1996,0.364214
1997,0.383920
1998,0.392503
1999,0.422493
2000,0.431692
2001,0.451177
2002,0.469734
2003,0.465938
2004,0.481892
2005,0.511618
2006,0.508969
2007,0.531260
2008,0.517738
2009,0.528753
2010,0.541494
2011,0.551410
2012,0.518578
2013,0.492576
2014,0.483232
2015,0.481644
2016,0.438823
2017,0.428755
2018,0.401259
2019,0.383809
2020,0.354130
