year,mean_r
1969,0.302412
1970,0.300937
1971,0.303184
1972,0.330860
1973,0.316115
1974,0.312976
1975,0.342799
1976,0.358693
1977,0.359330
1978,0.393880
1979,0.381353
1980,0.344432
1981,0.314229
1982,0.292585
1983,0.312171
1984,0.329724
1985,0.314643
1986,0.313057
1987,0.298450
1988,0.314308
1989,0.329333
1990,0.353443
1991,0.368278
1992,0.375505
1993,0.398004
1994,0.407482
1995,0.396106
1996,0.420036
1997,0.421412
1998,0.436330
1999,0.454686
2000,0.476466
2001,0.477786
2002,0.518188
2003,0.526442
2004,0.551933
2005,0.553087
2006,0.548278
2007,0.554932
2008,0.518587
2009,0.493463
2010,0.485444
2011,0.490852
2012,0.480247
2013,0.477370
2014,0.466911
2015,0.476568
2016,0.468137
2017,0.473680
2018,0.474266
2019,0.465226
2020,0.418281
