year,mean_r
1969,0.318071
1970,0.296794
1971,0.300920
1972,0.282461
1973,0.284194
1974,0.275739
1975,0.291889
1976,0.380236
1977,0.382297
1978,0.380020
1979,0.377380
1980,0.360175
1981,0.368721
1982,0.365229
1983,0.351623
1984,0.331540
1985,0.334710
1986,0.356619
1987,0.361142
1988,0.378083
1989,0.403854
1990,0.394681
1991,0.398982
1992,0.405008
1993,0.428879
1994,0.429974
1995,0.407646
1996,0.343226
1997,0.364539
1998,0.371022
1999,0.411943
2000,0.431749
2001,0.451363
2002,0.491861
2003,0.486756
2004,0.490738
2005,0.485502
2006,0.465134
2007,0.500998
2008,0.489978
2009,0.465295
2010,0.477053
2011,0.465809
2012,0.465518
2013,0.453549
2014,0.458309
2015,0.460952
2016,0.407533
2017,0.432535
2018,0.414296
2019,0.411174
2020,0.375599
