year,mean_r
1969,0.287511
1970,0.313961
1971,0.338084
1972,0.344753
1973,0.310820
1974,0.275419
1975,0.316383
1976,0.317911
1977,0.306549
1978,0.334056
1979,0.361796
1980,0.386718
1981,0.415067
1982,0.426407
1983,0.497933
1984,0.494253
1985,0.469877
1986,0.492760
1987,0.519514
1988,0.563798
1989,0.553193
1990,0.573530
1991,0.563725
1992,0.527457
1993,0.497058
1994,0.508692
1995,0.450536
1996,0.399247
1997,0.408630
1998,0.421184
1999,0.450765
2000,0.441124
2001,0.480657
2002,0.484202
2003,0.463953
2004,0.489876
2005,0.537925
2006,0.538590
2007,0.570587
2008,0.568651
2009,0.591946
2010,0.614457
2011,0.616753
2012,0.552052
2013,0.524858
2014,0.510274
2015,0.511080
2016,0.476122
2017,0.453174
2018,0.435628
2019,0.424897
2020,0.403286
