Year,1_CABLE-POP_S3_gpp.nc,1_CLASSIC_S3_gpp.nc,1_CLM5.0_S3_gpp.nc,1_DLEM_S3_gpp.nc,1_E3SM_S3_gpp.nc,1_EDv3_S3_gpp.nc,1_IBIS_S3_gpp.nc,1_ISBA-CTRIP_S3_gpp.nc,1_JSBACH_S3_gpp.nc,1_JULES_S3_gpp.nc,1_LPJ-GUESS_S3_gpp.nc,1_LPJmL_S3_gpp.nc,1_LPJwsl_S3_gpp.nc,1_OCN_S3_gpp.nc,1_ORCHIDEE_S3_gpp.nc,1_SDGVM_S3_gpp.nc,1_YIBs_S3_Monthly_gpp.nc
1950,1789926.185295233,1697024.8324943725,2550658.1956085972,670350.4752798898,2364567.7808107967,1045584.1637788643,2302541.022228406,1115839.1806124016,1459399.2103387495,2385570.743998208,1778575.7895840635,2838253.9923930154,2832085.172237383,1847566.583881109,1763357.437482831,1679742.5759060283,1695317.4720721976
1951,1721329.8130507031,1688750.2128521856,2604856.7319783242,703990.3152129134,2376034.5594061767,1039849.4997836447,2329829.5369384172,1125451.3585736651,1462324.5853330917,2428491.56632586,1767076.3206146366,2822470.769192267,2820050.200098491,1830996.3363147778,1762094.7920951624,1713246.7799334421,1714630.674816579
1952,1817712.178959969,1729934.896548268,2594400.3892865283,698469.2092932524,2446715.3315065443,1065612.0184734133,2306640.7459778367,1152705.5469561736,1553058.4068642207,2466152.533941948,1768375.0952043654,2781237.8806609856,2801348.199611064,1867201.3201130182,1782425.1679601735,1701311.192107101,1717132.4891283875
1953,1791008.683341466,1801222.145548068,2699177.8370478163,714846.4892989697,2476202.973983106,1079851.830515766,2403673.3150895042,1177614.3285987454,1518386.8874661806,2515577.7048917133,1826314.5389610142,2919368.2479624236,2858541.7452310417,1903505.289014928,1845060.0605379313,1756362.2163934507,1802753.8025562542
1954,1898023.6108115227,1783536.6970325517,2658969.2117155087,681552.0156712328,2452576.210077404,1070769.291003025,2409443.967664684,1185535.2329939373,1530416.8258012675,2496776.0293543674,1819711.5180316933,2898059.5271042334,2880651.185829228,1883366.7706446538,1817984.6307983256,1722324.7125031087,1789870.1666211602
1955,1925502.611544277,1688860.4321073045,2574177.431831655,700725.1431769643,2390138.0373119,1043215.8303644857,2296183.427608435,1174657.688681261,1539829.4540142347,2455758.465542208,1794618.0856526494,2839597.7090777378,2768151.146990516,1843465.3618620825,1772278.6248169765,1696753.302554611,1726120.1548379972
1956,1830658.5693959016,1696965.5926590418,2521263.1297041,653318.9649309069,2348156.6867871615,1039780.8274284499,2236970.008064929,1101746.4593458984,1529333.9623878011,2382136.4256909834,1732871.7293285148,2675775.8992768,2670461.739019923,1854799.7082171906,1702788.4687253586,1623655.3060882855,1695041.190888728
1957,1785433.8357664745,1787711.6399751925,2667566.6157838725,695458.5650423834,2445351.3529449822,1075790.819268771,2356327.6045927736,1177765.161566767,1552953.2947490034,2529337.3166106064,1784378.7871174947,2830330.355719798,2858851.2349421596,1907664.6344154312,1782866.8793912714,1715097.0411106916,1782902.4849255257
1958,1793265.9175632643,1723300.8551146828,2519869.264897784,732593.5925360053,2439798.0136283734,1071893.354609775,2281754.7891854662,1127930.9779711189,1523347.1886703896,2563284.036553013,1743517.2519538335,2765478.1704822257,2777077.0146973683,1934943.6367715094,1808438.6907350342,1706969.6549944482,1763472.394719399
1959,1746104.5904790005,1683664.6742831534,2596478.2530741272,695977.2921617213,2375867.9418527703,1054603.5746148056,2228786.6869969973,1105512.2876220716,1491208.2412515655,2417950.5571626625,1729350.1103374579,2724766.232473983,2692479.606727691,1856806.5030065873,1799643.7909336756,1648499.3429735538,1717138.7817142163
