Year,1_CABLE-POP_S3_gpp.nc,1_CLASSIC_S3_gpp.nc,1_CLM5.0_S3_gpp.nc,1_DLEM_S3_gpp.nc,1_E3SM_S3_gpp.nc,1_EDv3_S3_gpp.nc,1_IBIS_S3_gpp.nc,1_ISBA-CTRIP_S3_gpp.nc,1_JSBACH_S3_gpp.nc,1_JULES_S3_gpp.nc,1_LPJ-GUESS_S3_gpp.nc,1_LPJmL_S3_gpp.nc,1_LPJwsl_S3_gpp.nc,1_OCN_S3_gpp.nc,1_ORCHIDEE_S3_gpp.nc,1_SDGVM_S3_gpp.nc,1_YIBs_S3_Monthly_gpp.nc
1950,5225145.830662391,7189339.3155959975,7535281.796550186,4909945.440489842,7566045.5377878565,5197347.4609861085,6471938.928549252,5897228.192508886,4016989.0043551126,7321086.792065843,5379204.45504005,8611372.16028934,8498084.730283376,7754769.83772599,4889596.733126685,6677448.280573589,7875534.732007908
1951,5219008.042687114,7143771.350912104,7651679.14900309,4897452.702595988,7503071.899713362,5107356.255421022,6432096.9218549635,5969038.371211345,4159590.7804005733,7493915.863933541,5327161.108596211,8556479.334178649,8460992.750790201,7719413.412803957,4914327.378845529,6676399.935688114,7881560.918464826
1952,5090622.71253211,7089560.53009576,7608034.619353307,4944439.729886225,7539862.6427343795,5124755.068214934,6455106.370201033,5749097.8333264105,3947367.998197426,7345443.183034127,5336098.226213824,8676721.602613192,8351161.602861848,7871239.105405496,4989926.942466367,6776099.404295565,7885877.367986219
1953,5147393.525814626,7336621.960489169,7666690.608603651,4950266.952846871,7456670.303003411,5097268.734956654,6489523.217608117,5914592.903476579,4200948.490466308,7555443.348705336,5408200.840440415,8758955.274565034,8342613.769053265,7800377.806427975,5051337.97397771,6741526.899901602,8026732.953223081
1954,4975616.829533738,6979692.166881761,7490724.2230073735,4898235.946788674,7466821.669249813,5065674.5761773065,6329411.218132354,5773073.639392359,3636413.7997088823,7186578.2844801955,5290883.035998965,8531915.132037332,8141740.548891186,7661964.560526817,5043189.074184086,6636697.93881944,7846052.609385641
1955,5484508.135718558,7246662.648183587,7666299.896093363,5033856.215758661,7680229.994552899,5174735.296130338,6386419.942791702,6001828.606882869,4301782.982963746,7455893.806636257,5358423.490224198,8719746.75230238,8296966.235615544,7878147.940580691,4946971.541171727,6770617.277504708,7944257.526222614
1956,5187807.560408005,7002911.83804713,7566386.155900862,4801425.335559377,7485354.221051818,5142617.480379604,6392545.687157867,5780212.402758468,3988295.5558451703,7430529.439354501,5198948.705808119,8329193.272884824,8179342.69841203,7641573.252964381,4981973.591955393,6485914.511653768,7802542.613231748
1957,5196963.8209055355,7544004.568754903,7768149.831763845,4996842.117176605,7573756.761393221,5319508.481992843,6432274.642753664,6124953.809207012,4221840.134255258,7634239.970485036,5530109.403393779,8888760.744958658,8469844.901923995,7958130.289805217,5059489.587373277,6820368.459594598,8098290.829947706
1958,5540087.995720923,7486318.287533304,7661557.1195713505,5044267.997671566,7693176.567014614,5332142.781453528,6309497.120415487,6344502.717806354,4449466.87451988,7913888.258507683,5516760.187871962,8930968.480343373,8611524.227557108,8243145.147147914,5192445.837466694,7019592.492571671,8238255.49565461
1959,5033792.5902794115,7389786.965405342,7713701.168949055,5082115.109073913,7805249.7715909,5188620.224111348,6252012.812111857,5984391.997109901,3937073.559210548,7502811.653289285,5481124.1974446215,8710467.102340028,8591207.18968452,8201870.8957087025,5243381.877476018,6943034.205926336,8169736.026379285
