Year,1_CABLE-POP_S3_gpp.nc,1_CLASSIC_S3_gpp.nc,1_CLM5.0_S3_gpp.nc,1_DLEM_S3_gpp.nc,1_E3SM_S3_gpp.nc,1_EDv3_S3_gpp.nc,1_IBIS_S3_gpp.nc,1_ISBA-CTRIP_S3_gpp.nc,1_JSBACH_S3_gpp.nc,1_JULES_S3_gpp.nc,1_LPJ-GUESS_S3_gpp.nc,1_LPJmL_S3_gpp.nc,1_LPJwsl_S3_gpp.nc,1_OCN_S3_gpp.nc,1_ORCHIDEE_S3_gpp.nc,1_SDGVM_S3_gpp.nc,1_YIBs_S3_Monthly_gpp.nc
1950,1048042.06,972116.9301,1307535.048,471851.15,1013605.542,498792.4575,1296157.683,790595.3519,942982.7782,1440212.391,995475.8729,1451596.767,794809.7054,1121659.29,675189.6451,1102901.88,1048877.229
1951,1003743.307,964599.4533,1333013.909,496562.5123,1023594.627,496373.4994,1311558.196,796586.4497,946079.8515,1456377.677,984935.7058,1436798.916,802945.0123,1111768.926,672145.1008,1130546.892,1059382.033
1952,1056208.69,991851.8901,1320103.929,488463.8812,1063696.582,508577.6296,1298366.018,813873.63,1007016.171,1483588.961,982951.6961,1419028.415,795040.9877,1129173.441,689136.9604,1122509.633,1061370.849
1953,1052141.959,1049866.547,1373175.551,498015.2631,1088449.897,515849.4608,1353047.601,831742.1163,979710.9689,1512709.017,1003482.33,1436910.687,844451.5002,1156230.437,706734.6783,1154147.425,1114590.817
1954,1098640.284,1037596.032,1349406.785,472784.8618,1076757.65,511704.8944,1356253.132,839708.0216,989151.4726,1494663.893,1006837.194,1464075.112,857008.4553,1141476.761,697826.2121,1130474.874,1109863.225
1955,1092903.201,964191.4387,1327383.215,486691.7841,1030739.671,497858.6513,1292429.577,835123.6535,995204.2395,1482514.572,997778.8047,1399795.995,793055.8722,1116377.118,676012.6543,1109459.376,1068812.846
1956,1034545.347,976282.2227,1290396.691,458302.925,993864.4871,496637.0779,1259049.535,782389.7388,989119.779,1441287.428,980889.6535,1367424.636,764470.1445,1125563.571,662573.4569,1065570.906,1061362.926
1957,1043620.626,1037431.926,1351058.352,486421.0408,1043597.789,513942.7394,1326437,832234.3498,993396.435,1524374.628,989655.4557,1459413.005,831768.6142,1155270.37,684582.1813,1142640.495,1107528.622
1958,1051616.344,974744.0585,1287277.431,517847.8833,1039492.295,511573.1119,1284289.286,795107.9677,971025.7113,1542981.857,954662.8196,1390413.275,785520.2041,1170696.43,690853.7994,1113606.402,1091879.181
1959,1039045.237,958606.0592,1323335.931,489037.6958,1014670.601,504484.4462,1254611.324,782737.0843,969943.677,1462398.513,965724.8399,1370119.591,786726.0573,1128607.845,698851.0179,1073982.83,1070329.774
1960,1097036.355,1070147.448,1408430.3,534636.0218,1115154.339,519415.828,1326407.432,875594.0196,1038722.038,1524725.402,1017701.826,1478856.271,852289.9481,1171380.789,712767.1126,1163123.327,1097084.855
1961,1029740.422,1016436.464,1379825.309,508045.8235,1076305.814,519760.7097,1290191.791,848793.6884,982315.2192,1524800.091,964420.6501,1414782.736,834482.8517,1143783.915,679560.4293,1127598.953,1084892.339
1962,1108049.686,1023603.744,1405579.768,515574.4866,1053004.234,517389.462,1277094.922,846094.5939,1021487.932,1570658.542,1034443.785,1462390.169,836564.901,1168682.031,701551.6521,1103824.709,1114603.342
1963,1140422.771,1098951.31,1486849.942,549562.1399,1092833.777,530354.2852,1338354.873,881605.2497,1059603.64,1613652.41,1071462.01,1522783.979,878452.9822,1227788.798,728392.4529,1150343.703,1137585.548
1964,1064803.139,984832.0766,1400782.314,504056.3994,1037575.559,519122.4891,1264751.36,810613.4991,968973.9664,1518155.655,998782.8212,1379114.949,784019.0262,1152956.275,710406.9853,1073614.848,1090801.529
1965,1064974.148,932911.9207,1372353.599,483067.0586,1003422.84,506864.157,1219009.676,760001.6507,964221.4784,1452929.881,991117.6188,1364575.545,773434.2631,1125922.915,706068.728,1058989.061,1072066.583
1966,1099659.134,986212.0294,1377816.701,502653.6132,1071398.944,515343.79,1313037.036,845731.4948,1006220.102,1478699.319,981261.7339,1464461.848,828261.0383,1140269.426,700085.7942,1124020.089,1108066.655
1967,1010846.715,972379.8201,1382920.116,496922.0701,1073041.886,530113.8944,1291065.693,845977.8643,1001563.384,1500412.422,946552.8223,1447325.423,819087.2433,1162844.69,705125.8694,1135919.766,1110395.863
1968,1055551.604,976580.1573,1387199.668,516022.1748,1076544.753,530891.5807,1310522.127,795926.1594,1001943.445,1520514.291,1013659.837,1457980.204,802694.7249,1176953.79,735653.2046,1090502.505,1112677.386
1969,985081.9954,895430.3734,1261747.766,485570.0685,1010690.364,508726.9594,1217043.165,759180.8528,964280.336,1411588.283,930609.4245,1359300.36,739625.5094,1139953.638,697159.5114,1090613.626,1088168.054
1970,1013769.864,996655.4229,1350014.178,511939.358,1040803.263,523257.7404,1270950.218,801958.9442,968929.4141,1453836.262,970140.9619,1411767.826,829782.8127,1151401.011,727637.9019,1118780.804,1095861.015
1971,1083683.603,962499.3604,1307849.053,500296.3107,1084093.611,521665.8256,1278498.542,809388.8708,982629.2303,1452634.11,984803.1924,1450532.977,819060.1938,1142743.453,722754.6865,1126295.317,1101736.268
1972,985439.8043,923703.0425,1291951.057,505261.3894,1006506.216,515748.9093,1219673.572,813517.3049,955618.4813,1423495.603,972916.3874,1410258.363,801914.623,1113646.064,713740.0674,1094014.268,1083112.101
1973,1086248.308,1017380.259,1413206.425,533202.7603,1154868.546,526559.2092,1317010.053,875595.6228,1029002.731,1523740.739,1047004.878,1497440.017,861179.0408,1191069.539,752060.4825,1176494.472,1113012.03
1974,1019079.7,976563.4552,1354376.48,502959.0363,1102867.017,521735.2739,1283543.456,830167.5613,998469.5211,1485722.646,1006297.185,1455160.772,830684.1932,1141254.261,751656.3711,1122703.193,1110602.17
1975,1071235.282,1067143.421,1439821.078,550049.7533,1133315.76,546577.3411,1344687.862,885532.6518,1043487.206,1562467.353,1076066.438,1544785.454,879760.7875,1216337.579,768080.9482,1168036.916,1150104.514
1976,1081693.051,1049195.777,1416935.349,531209.1083,1145139.504,543991.1591,1321329.926,853405.6477,1019447.535,1526443.762,1089776.199,1561861.026,872443.0104,1209607.043,780256.2545,1152061.706,1122256.867
1977,1105637.672,1082730.835,1444111.509,545319.6575,1162371.497,558684.4874,1366535.873,867927.9537,1008528.449,1567290.57,1089882.952,1549419.741,869753.205,1228035.893,763418.2445,1165562.079,1152686.599
1978,1067949.569,966828.6836,1302950.386,500824.4164,1008199.284,544227.0224,1246980.308,787676.3658,955561.9719,1456609.671,1023386.065,1397897.608,779131.8832,1186018.445,739980.1264,1077993.451,1109062.365
1979,1104135.255,1028821.589,1324846.753,525094.7571,1091780.276,558292.2742,1352832.284,880001.8382,1018743.677,1517063.585,1036926.507,1477985.589,846003.6546,1199813.229,737354.3076,1167876.735,1131538.617
1980,1089413.275,1047282.033,1390656.92,543961.2853,1164369.085,558698.6667,1342212.119,895343.4434,1025668.568,1554899.768,1048890.736,1479083.051,827317.1789,1241466.244,756807.3106,1157174.271,1144650.077
1981,1100875.687,1034859.68,1382742.721,560833.176,1142649.647,578144.5003,1336834.649,888040.4984,1004703.487,1575969.492,1030295.639,1483774.551,892591.2979,1234580.45,768159.4522,1176863.442,1171222.664
1982,1080465.827,961218.0281,1339327.466,541497.8973,1045608.603,563123.4991,1272894.414,857342.4843,995566.2926,1519006.588,1041388.258,1472683.347,843928.9409,1198679.769,756957.2081,1120340.157,1147943.269
1983,1095459.282,1073053.671,1381155.942,555185.4922,1105890.483,592154.3797,1322045.78,905251.8895,1047558.186,1664316.186,1071924.287,1534860.086,895397.1115,1252566.425,796065.6883,1167085.172,1198812.435
1984,1114137.073,1095239.369,1472710.679,574740.2092,1184808.086,588831.6668,1342082.364,902660.747,1058053.996,1621615.601,1087828.684,1525719.758,897145.705,1259515.376,817890.7141,1177618.368,1182045.06
1985,1089049.901,942878.0383,1339406.217,522239.307,1095667.995,565471.7623,1287846.888,870739.8509,992194.9231,1487571.144,1043010.213,1457130.138,814463.4684,1175243.002,762194.469,1136631.704,1138988.59
1986,1104266.644,988587.4195,1407721.577,544380.8164,1086273.784,579307.2373,1287895.644,869573.2291,1033800.181,1548946.652,1063001.679,1475587.515,815917.7235,1223100.148,773447.5444,1141869.931,1167650.022
1987,1162938.281,1062128.231,1427714.016,553934.7125,1131219.705,605163.922,1366639.223,908746.0578,1063270.383,1614494.009,1081234.156,1530635.317,892266.6792,1262630.116,799595.7765,1185066.961,1177929.432
1988,1134885.207,1119912.969,1479800.597,587684.9409,1195950.555,613155.8915,1371001.406,966346.0185,1095531.778,1664367.809,1073685.661,1556935.325,928627.0604,1282044.071,805723.6153,1219680.441,1204780.212
1989,1114992.072,1123454.698,1492605.025,591267.0723,1222398.113,616188.8706,1427994.473,993103.6059,1073085.85,1662889.971,1126422.44,1605095.819,923324.5119,1293992.376,808263.4849,1245763.404,1221403.738
1990,1098268.821,1057692.793,1466643.414,567802.62,1161077.788,611129.3405,1375055.912,923116.009,1056702.812,1650486.47,1109893.182,1540171.207,882538.4032,1284352.973,822926.5545,1198859.314,1198711.87
1991,1169618.06,1091295.435,1497176.197,587435.2736,1183733.71,617720.4853,1387822.664,970640.5231,1108528.575,1645722.119,1137930.765,1585047.685,904563.1,1294475.787,812926.9533,1225212.279,1206397.904
1992,1077188.474,950982.1684,1408234.859,546654.987,1042845.505,614608.2605,1291617.307,853228.7113,1015564.952,1595847.003,1075033.948,1466921.374,827457.5664,1226021.509,785983.8372,1098010.936,1178412.991
1993,1180055.948,1080543.727,1499985.332,574400.1561,1206122.842,626818.1898,1421488.476,956921.7272,1131389.579,1642628.639,1115003.669,1590392.506,897490.8863,1318759.779,819661.107,1201062.931,1237601.195
1994,1141002.853,1018661.277,1434519.002,572392.0127,1227149.16,620318.8516,1417689.933,959117.2651,1074885.115,1632707.956,1086925.785,1548961.005,884937.97,1288611.632,804258.4175,1244382.106,1221234.272
1995,1150034.818,1083895.951,1450702.959,594535.3658,1242065.241,651741.2054,1430420.389,974317.5719,1129169.29,1672287.561,1138482.243,1633807.963,941287.8632,1325832.912,833410.3237,1227429.675,1246970.963
1996,1104329.446,991925.2869,1376245.128,542521.3118,1122986.886,612156.4755,1364569.504,917539.8054,1065920.357,1544188.221,1092417.402,1504806.138,861899.7394,1218555.799,797847.3402,1163052.575,1216442.243
1997,1132445.471,1067862.966,1467659.321,593908.4033,1159737.585,636068.6615,1434500.893,985324.6854,1131374.078,1664917.69,1133103.587,1616355.263,948518.0252,1289600.798,820924.8551,1231105.233,1253599.753
1998,1204594.867,1188658.336,1515894.953,643735.0086,1276155.163,674674.3751,1481397.011,1023120.807,1176173.21,1760353.492,1161094.758,1640380.199,960293.7891,1388238.817,847141.3086,1297901.942,1288583.611
1999,1137210.644,1072126.732,1453953.36,600519.2294,1200599.714,649035.3979,1420522.367,963089.4512,1122855.786,1685955.502,1152641.311,1586736.907,925784.3903,1329745,853035.8096,1208899.115,1260411.853
2000,1137592.237,1049098.629,1447781.199,578714.7033,1086635.593,668878.9962,1366481.171,943331.3556,1100643.509,1667308.01,1123165.516,1502127.25,883223.6516,1295320.232,831092.9854,1173652.995,1252713.837
2001,1189162.919,1108961.1,1508864.205,632207.7587,1162955.938,678466.6307,1443068.174,1012462.339,1147367.341,1728727.203,1162172.556,1598155.051,946507.963,1326471.605,838697.3818,1242384.979,1263059.581
2002,1121220.981,1021555.909,1446089.06,575102.3134,1132755.812,654872.7228,1376521.605,956696.7958,1090578.307,1653593.595,1127694.656,1549595.402,904044.437,1264926.63,810546.7886,1194147.98,1238032.397
2003,1145981.31,1101165.726,1568629.904,624160.4505,1253742.878,689783.1883,1468911.546,1033108.443,1135668.908,1703969.169,1161653.912,1600648.8,917237.1674,1344389.54,825693.3179,1260020.627,1265396.567
2004,1194275.37,1052936.621,1443547.504,584553.307,1183309,692143.0231,1424853.743,976490.6043,1096723.872,1710296.712,1126236.354,1553280.907,895845.7502,1334660.096,843600.1791,1213899.616,1275094.763
2005,1230539.593,1185213.428,1603162.377,650116.2181,1298739.737,724881.7892,1548699.76,1070592.993,1224055.544,1839817.765,1228481.605,1706532.662,982982.1077,1414618.417,881066.5903,1282732.097,1308570.748
2006,1217026.523,1142020.973,1580704.651,659824.4464,1312340.882,721215.2124,1562209.794,1087874.444,1176622.778,1822777.451,1188587.982,1692526.508,966941.0026,1417495.13,882489.7645,1296933.809,1298509.218
2007,1192125.46,1141037.014,1559335.623,629475.0463,1190804.638,718055.7525,1478865.428,1027123.915,1159850.833,1785710.13,1179470.679,1581844.316,930964.5658,1379147.597,864673.5533,1246380.265,1321791.707
2008,1233090.907,1090817.339,1508079.052,614991.3234,1181517.674,711504.3002,1464590.665,1022295.713,1158059.132,1777292.717,1180524.743,1614604.598,931566.1834,1335198.298,847849.4834,1226252.292,1299588.191
2009,1202755.249,1059143.516,1520699.72,605363.2451,1181350.096,732813.34,1464599.334,1046679.881,1154578.567,1780226.512,1174705.59,1658896.004,969697.8025,1341647.342,865922.3728,1238608.119,1306387.263
2010,1199157.762,1194167.267,1660083.158,663250.7134,1328210.302,752685.6085,1535137.422,1081475.298,1220653.564,1863368.687,1227834.817,1669528.252,966211.1545,1459239.711,904793.9249,1304287.773,1383274.61
2011,1235774.543,1155115.375,1586992.095,632367.2904,1293543.304,744019.2282,1522895.489,1089981.641,1215526.697,1815535.428,1230854.717,1677816.173,989426.7658,1418125.289,895813.8874,1280062.7,1361998.478
2012,1238707.824,1147617.718,1604374.794,644334.0434,1286858.896,751775.418,1540437.548,1088520.006,1162716.005,1827901.603,1211169.897,1659320.383,967525.8896,1395024.346,876179.9378,1281384.442,1343623.885
2013,1186347.829,1141493.517,1569871.574,639379.0331,1238949.849,756858.6942,1532968.55,1111167.769,1195259.43,1802234.999,1200473.065,1725211.111,972358.0602,1390672.985,860591.5213,1303458.277,1354831.951
2014,1233582.873,1148153.794,1620240.587,638162.5781,1286363.593,765871.6866,1543544.308,1112033.968,1195806.737,1823687.725,1250099.213,1725080.163,984088.66,1406398.597,880957.5228,1284789.319,1365979.867
2015,1261054.986,1173237.278,1626412.242,648021.3183,1305759.87,788798.7298,1555809.559,1069734.5,1212323.01,1858122.777,1252707.097,1687667.2,969876.8888,1465414.877,910124.1828,1276478.533,1376871.633
