Year,1_CABLE-POP_S3_gpp.nc,1_CLASSIC_S3_gpp.nc,1_CLM5.0_S3_gpp.nc,1_DLEM_S3_gpp.nc,1_E3SM_S3_gpp.nc,1_EDv3_S3_gpp.nc,1_IBIS_S3_gpp.nc,1_ISBA-CTRIP_S3_gpp.nc,1_JSBACH_S3_gpp.nc,1_JULES_S3_gpp.nc,1_LPJ-GUESS_S3_gpp.nc,1_LPJmL_S3_gpp.nc,1_LPJwsl_S3_gpp.nc,1_OCN_S3_gpp.nc,1_ORCHIDEE_S3_gpp.nc,1_SDGVM_S3_gpp.nc,1_YIBs_S3_Monthly_gpp.nc
1950,2980582.206,4451508.58,3365402.878,2790896.068,2980724.458,2510898.816,3610942.288,3311327.731,2007012.239,4160331.552,2427842.612,3288064.403,3833787.136,4186439.003,2046634.005,4017489.723,4163932.672
1951,2982921.656,4412096.206,3403374.268,2779065.867,2894570.308,2468304.298,3588066.762,3405784.083,2113334.742,4275480.458,2388289.082,3327721.338,3780762.36,4191713.375,2070714.269,4065434.25,4171787.285
1952,2883936.363,4341661.438,3378637.212,2791333.978,2875893.12,2474589.905,3601224.5,3243173.975,1928251.968,4146382.45,2420861.087,3143925.117,3596556.152,4247854.505,2085797.355,4179576.323,4129625.671
1953,2993396.359,4543110.057,3405588.343,2794856.437,2867139.48,2463635.681,3621146.677,3357715.31,2115390.095,4282538.527,2425842.737,3182349.87,3734541.558,4217777.762,2128868.249,4104073.253,4208186.423
1954,2852308.349,4271210.632,3361287.649,2760131.334,2870306.143,2447847.206,3530679.131,3264295.611,1733712.083,4058731.989,2356686.84,3085099.345,3684136.462,4096050.797,2122084.62,4045205.729,4112700.656
1955,3179274.573,4477218.161,3457733.187,2870043.59,3059061.508,2502534.285,3564765.093,3440405.571,2146226.329,4232870.967,2396293.85,3237947.281,3933523.022,4253634.52,2086057.645,4150469.515,4165565.302
1956,2986743.957,4322558.848,3426494.492,2722093.933,2916774.78,2488395.567,3569633.384,3279461.361,1974386.593,4224106.946,2430122.43,3202476.61,3582058.541,4139009.201,2116979.71,3941740.613,4125267.53
1957,2979758.584,4720238.121,3507615.651,2845208.614,2913526.974,2575512.572,3590732.458,3474624.926,2120403.283,4341254.865,2544838.117,3404648.888,3967330.581,4320281.67,2151389.123,4209594.719,4276084.108
1958,3177802.507,4671493.652,3558217.321,2881767.782,3005494.863,2582497.21,3523422.362,3596390.159,2269050.143,4496444.569,2529512.444,3478434.237,4160510.322,4482095.024,2232338.135,4296613.395,4371557.322
1959,2863307.569,4561038.347,3500261.474,2882331.856,3027567.086,2510875.652,3491868.406,3383490.2,1918548.018,4231732.312,2469664.349,3331095.974,3837239.324,4398985.914,2206462.073,4194584.462,4307586.996
1960,3162991.179,4698303.733,3542157.15,2866960.195,3022325.464,2576694.664,3592962.189,3520285.705,2105261.193,4364867.212,2470502.833,3401792.636,3906348.5,4347321.355,2230732.647,4170188.518,4337940.766
1961,3131508.853,4691165.913,3584386.317,2910430.023,3031619.932,2633594.74,3572732.503,3510434.535,2152640.085,4440281.923,2476327.151,3336265.911,3838125.779,4428699.966,2241330.4,4163407.449,4330097.021
1962,3054774.062,4578194.534,3583466.934,2820106.32,2998147.667,2624173.569,3590818.417,3441985.697,2173253.747,4406260.868,2517728.631,3428831.893,3831662.872,4358373.176,2279202.275,4095618.83,4326012.038
1963,2871553.754,4610856.205,3550036.544,2866232.424,2860531.586,2551510.348,3637873.666,3393064.794,1959632.692,4276053.429,2523832.342,3379685.956,3968192.321,4368539.483,2304911.998,4267179.91,4308436.106
1964,2714240.329,4455491.715,3526367.414,2820283.753,2968086.734,2540218.651,3646008.527,3395542.106,1891466.642,4173836.478,2496965.468,3320866.218,3843971.426,4288331.433,2300268.198,4126655.471,4274870.882
1965,3169024.453,4502054.626,3602162.726,2825218.218,3096628.705,2602807.925,3583044.605,3486429.718,2147095.539,4334582.893,2650375.024,3527130.571,3954537.04,4357699.215,2346314.396,4129026.644,4346805.351
1966,3170705.693,4775811.889,3664394.103,2963779.418,3256539.182,2776530.12,3610335.516,3602929.743,2304367.784,4551411.705,2602874.284,3523545.827,4170595.652,4548409.359,2445616.555,4355888.576,4426783.341
1967,3041148.642,4595692.307,3656366.63,2934326.44,3047507.325,2746386.082,3643376.341,3520035.768,2172524.238,4430942.007,2575005.992,3424620.804,3952072.413,4451042.142,2418770.263,4200931.631,4438929.317
1968,3119129.081,4856384.021,3742771.875,2978632.046,3073618.046,2780655.937,3693855.728,3659542.705,2458092.037,4569560.343,2758802.649,3647706.594,4138156.096,4659107.571,2545317.449,4330233.495,4582873.632
1969,3142467.256,4678176.74,3790564.461,2863549.959,3059707.596,2784916.468,3589968.127,3603907.315,2268011.975,4546991.421,2668667.704,3580100.752,4127694.853,4499604.567,2575216.644,4220559.38,4452000.094
1970,3108361.48,4565221.39,3714585.144,2876628.725,3073239.436,2794075.169,3532807.683,3591243.662,2331015.864,4529215.59,2544045.47,3314183.12,3887792.962,4490339.68,2591662.637,4247223.95,4428911.87
1971,3121023.481,4607058.706,3731089.361,2884276.885,2949128.223,2710046.776,3499485.028,3508316.758,2185682.536,4437970.834,2645457.041,3435824.824,3977576.424,4423675.277,2556550.899,4175170.224,4411564.822
1972,3139135.699,4801536.997,3791315.19,2992336.356,3109974.743,2774113.909,3472204.882,3610523.936,2045096.882,4493614.529,2766792.811,3515035.437,4153532.826,4629686.438,2692824.961,4233617.394,4522339.548
1973,3273707.336,4885930.539,3860142.081,2975636.739,3254699.186,2819179.793,3570590.03,3755285.208,2381778.367,4592605.748,2765003.929,3540806.314,4063425.059,4763328.052,2754708.973,4356583.92,4579444.735
1974,3327819.476,4703782.495,3881670.044,2956187.059,3161566.468,2955372.524,3566571.871,3688462.921,2460084.105,4704747.26,2740965.371,3556646.657,4021461.073,4678034.728,2717090.691,4107449.66,4556473.522
1975,3140702.073,4828718.33,3858105.647,2996840.372,3063735.312,2883361.676,3522840.883,3688737.441,2439591.627,4607491.411,2662479.107,3385443.347,3997068.324,4683292.061,2785642.429,4252214.284,4598742.9
1976,3047699.006,4691693.913,3836447.936,2976045.298,3105722.302,2825648.596,3654870.352,3548931.558,2178408.234,4450908.206,2899378.582,3549171.954,3938659.239,4548104.557,2817073.446,4266364.302,4521251.225
1977,3217197.936,5049623.157,3911556.316,2921967.707,3271610.766,2976192.096,3565440.292,3699189.102,2355097.641,4532398.15,2779992.897,3570704.652,4234338.616,4706720.484,2926301.182,4245723.218,4583677.164
1978,3287179.917,4769610.956,3925126.002,2942931.46,3232967.911,2988949.197,3608310.994,3706655.062,2538091.745,4722022.528,2786869.505,3614892.111,4075601,4634842.822,2934605.356,4324731.886,4600852.598
1979,3256266.715,4707249.586,3921384.657,2974540.509,3097098.817,3044654.936,3503343.441,3747769.452,2509963.489,4733983.864,2745669.709,3510377.276,4068964.363,4672117.389,2976821.277,4340085.986,4648363.38
1980,3271882.705,4673620.894,3862501.867,2889579.924,2955855.42,2978638.651,3550500.632,3663238.178,2499587.333,4711468.483,2763917.413,3476998.098,3851978.933,4433360.47,2919056.557,4210003.033,4527761.298
1981,3347309.413,5025280.802,4053618.238,3141315.414,3233173.413,3062378.597,3609567.449,3843603.308,2429114.708,4828356.184,2950825.183,3640411.636,4328519.626,4894577.641,3126602.009,4456063.979,4760200.932
