year,mean_r
1969,0.523766
1970,0.527530
1971,0.504429
1972,0.511436
1973,0.542129
1974,0.509996
1975,0.532329
1976,0.531457
1977,0.529367
1978,0.543949
1979,0.567183
1980,0.573727
1981,0.549704
1982,0.544882
1983,0.564902
1984,0.566559
1985,0.598871
1986,0.612391
1987,0.639567
1988,0.637334
1989,0.651195
1990,0.652854
1991,0.649787
1992,0.666938
1993,0.661108
1994,0.673016
1995,0.678684
1996,0.683408
1997,0.668446
1998,0.671550
1999,0.672457
2000,0.657882
2001,0.667379
2002,0.712003
2003,0.708279
2004,0.716964
2005,0.684941
2006,0.673016
2007,0.659160
2008,0.657649
2009,0.640140
2010,0.630040
2011,0.636045
2012,0.602046
2013,0.606339
2014,0.622088
2015,0.652966
2016,0.646720
2017,0.650058
2018,0.622066
2019,0.612170
2020,0.600925
