year,mean_r
1969,0.459410
1970,0.453330
1971,0.440334
1972,0.471676
1973,0.491377
1974,0.448651
1975,0.373892
1976,0.370246
1977,0.416521
1978,0.419853
1979,0.409015
1980,0.461375
1981,0.422857
1982,0.456772
1983,0.481601
1984,0.468829
1985,0.457588
1986,0.459866
1987,0.453368
1988,0.564136
1989,0.574612
1990,0.585889
1991,0.565474
1992,0.553209
1993,0.586013
1994,0.592632
1995,0.667882
1996,0.655109
1997,0.638709
1998,0.687195
1999,0.709941
2000,0.698388
2001,0.708444
2002,0.701040
2003,0.702250
2004,0.705034
2005,0.682183
2006,0.670466
2007,0.668796
2008,0.599735
2009,0.561966
2010,0.571470
2011,0.557891
2012,0.616659
2013,0.643567
2014,0.634714
2015,0.652465
2016,0.652436
2017,0.657645
2018,0.642270
2019,0.609237
2020,0.620879
