year,mean_r
1970,0.276051
1971,0.268400
1972,0.272050
1973,0.249930
1974,0.248450
1975,0.254915
1976,0.299975
1977,0.313493
1978,0.315826
1979,0.326229
1980,0.317937
1981,0.309882
1982,0.300199
1983,0.320172
1984,0.355374
1985,0.356521
1986,0.337736
1987,0.354768
1988,0.376602
1989,0.376002
1990,0.355313
1991,0.343951
1992,0.349949
1993,0.375147
1994,0.386215
1995,0.370203
1996,0.359809
1997,0.381477
1998,0.381963
1999,0.386865
2000,0.411527
2001,0.410527
2002,0.428851
2003,0.416930
2004,0.415025
2005,0.423152
2006,0.448960
2007,0.457061
2008,0.413139
2009,0.424630
2010,0.442981
2011,0.438501
2012,0.433471
2013,0.413053
2014,0.407093
2015,0.411952
2016,0.412408
2017,0.387631
2018,0.386921
2019,0.373146
2020,0.351822
