year,mean_r
1969,0.277042
1970,0.276473
1971,0.288769
1972,0.298553
1973,0.276648
1974,0.257904
1975,0.290891
1976,0.323687
1977,0.308003
1978,0.332123
1979,0.337154
1980,0.336035
1981,0.353893
1982,0.360474
1983,0.388129
1984,0.387350
1985,0.373017
1986,0.384554
1987,0.392581
1988,0.421557
1989,0.429370
1990,0.441916
1991,0.442648
1992,0.422957
1993,0.430603
1994,0.439691
1995,0.396682
1996,0.363793
1997,0.392306
1998,0.405332
1999,0.435028
2000,0.442894
2001,0.463385
2002,0.487627
2003,0.478890
2004,0.492289
2005,0.516218
2006,0.509442
2007,0.533697
2008,0.526344
2009,0.524658
2010,0.529748
2011,0.526281
2012,0.495590
2013,0.478587
2014,0.469106
2015,0.474888
2016,0.440588
2017,0.438357
2018,0.423122
2019,0.415001
2020,0.387586
