year,mean_r
1970,0.493209
1971,0.475280
1972,0.475814
1973,0.461934
1974,0.420235
1975,0.396807
1976,0.393613
1977,0.426422
1978,0.445661
1979,0.430302
1980,0.432810
1981,0.433700
1982,0.453269
1983,0.436864
1984,0.441648
1985,0.447460
1986,0.458288
1987,0.485619
1988,0.514958
1989,0.555021
1990,0.563614
1991,0.574715
1992,0.572969
1993,0.589916
1994,0.596293
1995,0.594052
1996,0.588219
1997,0.575783
1998,0.575860
1999,0.589731
2000,0.595381
2001,0.599508
2002,0.563196
2003,0.535813
2004,0.514657
2005,0.514937
2006,0.520575
2007,0.526729
2008,0.506312
2009,0.428050
2010,0.417907
2011,0.420369
2012,0.395560
2013,0.403539
2014,0.415044
2015,0.404847
2016,0.407889
2017,0.395884
2018,0.388858
2019,0.352212
2020,0.312612
