year,mean_r
1969,0.206344
1970,0.206425
1971,0.283777
1972,0.264726
1973,0.315570
1974,0.311812
1975,0.389501
1976,0.401888
1977,0.351804
1978,0.347803
1979,0.327982
1980,0.298121
1981,0.313864
1982,0.306476
1983,0.294800
1984,0.217061
1985,0.245917
1986,0.193730
1987,0.165662
1988,0.190354
1989,0.211164
1990,0.260608
1991,0.225367
1992,0.309469
1993,0.282527
1994,0.286688
1995,0.253053
1996,0.276318
1997,0.272520
1998,0.293882
1999,0.267738
2000,0.244766
2001,0.225199
2002,0.206466
2003,0.185448
2004,0.258706
2005,0.277624
2006,0.234893
2007,0.260362
2008,0.235406
2009,0.267025
2010,0.259692
2011,0.263674
2012,0.223393
2013,0.217427
2014,0.189926
2015,0.304742
2016,0.311666
2017,0.322430
2018,0.188335
2019,0.164807
2020,0.185404
