year,mean_r
1970,0.478565
1971,0.462017
1972,0.466489
1973,0.475742
1974,0.508049
1975,0.521556
1976,0.533398
1977,0.540239
1978,0.561990
1979,0.550086
1980,0.562909
1981,0.575423
1982,0.565795
1983,0.563154
1984,0.556507
1985,0.568657
1986,0.584539
1987,0.587462
1988,0.608685
1989,0.601081
1990,0.599565
1991,0.614219
1992,0.611837
1993,0.620953
1994,0.606643
1995,0.611780
1996,0.609611
1997,0.613293
1998,0.608303
1999,0.611661
2000,0.606842
2001,0.603622
2002,0.620364
2003,0.635447
2004,0.644842
2005,0.649322
2006,0.642851
2007,0.651677
2008,0.645990
2009,0.659539
2010,0.655530
2011,0.657837
2012,0.652286
2013,0.642104
2014,0.657648
2015,0.660168
2016,0.662293
2017,0.653668
2018,0.640543
2019,0.619562
2020,0.618087
