year,mean_r
1970,0.398828
1971,0.376109
1972,0.392120
1973,0.416777
1974,0.413817
1975,0.350116
1976,0.330050
1977,0.360253
1978,0.418556
1979,0.396172
1980,0.427532
1981,0.440762
1982,0.401237
1983,0.388398
1984,0.393850
1985,0.383999
1986,0.428963
1987,0.429471
1988,0.505519
1989,0.520852
1990,0.530008
1991,0.537737
1992,0.521754
1993,0.542032
1994,0.551157
1995,0.561913
1996,0.573090
1997,0.574674
1998,0.569240
1999,0.582388
2000,0.607779
2001,0.605773
2002,0.592317
2003,0.583336
2004,0.597853
2005,0.609246
2006,0.609596
2007,0.610677
2008,0.564475
2009,0.550591
2010,0.535190
2011,0.546257
2012,0.569644
2013,0.553063
2014,0.551315
2015,0.574296
2016,0.581075
2017,0.588515
2018,0.577782
2019,0.546896
2020,0.499811
