year,mean_r
1970,0.183930
1971,0.165470
1972,0.179483
1973,0.180334
1974,0.181883
1975,0.197958
1976,0.167731
1977,0.174688
1978,0.186963
1979,0.185191
1980,0.192492
1981,0.222590
1982,0.203998
1983,0.210558
1984,0.206653
1985,0.164422
1986,0.177997
1987,0.157980
1988,0.209682
1989,0.203053
1990,0.204742
1991,0.206691
1992,0.219005
1993,0.263491
1994,0.262455
1995,0.272589
1996,0.285428
1997,0.284744
1998,0.301894
1999,0.342733
2000,0.355354
2001,0.359020
2002,0.378790
2003,0.385666
2004,0.398450
2005,0.422128
2006,0.415736
2007,0.419148
2008,0.394389
2009,0.394802
2010,0.414367
2011,0.429704
2012,0.428411
2013,0.373985
2014,0.378185
2015,0.375850
2016,0.396937
2017,0.390328
2018,0.376765
2019,0.354184
2020,0.350736
