year,mean_r
1970,0.310181
1971,0.301842
1972,0.323414
1973,0.299482
1974,0.287813
1975,0.225870
1976,0.246508
1977,0.284238
1978,0.274715
1979,0.319908
1980,0.324375
1981,0.320184
1982,0.347205
1983,0.428507
1984,0.475304
1985,0.424726
1986,0.387541
1987,0.408174
1988,0.446647
1989,0.426363
1990,0.368592
1991,0.354253
1992,0.338070
1993,0.353466
1994,0.361612
1995,0.359539
1996,0.356795
1997,0.332446
1998,0.343690
1999,0.309615
2000,0.308435
2001,0.276791
2002,0.261740
2003,0.197102
2004,0.212781
2005,0.225440
2006,0.262579
2007,0.245541
2008,0.162246
2009,0.206032
2010,0.271186
2011,0.284070
2012,0.295863
2013,0.256018
2014,0.245657
2015,0.267719
2016,0.290204
2017,0.298409
2018,0.289688
2019,0.276503
2020,0.250451
