year,mean_r
1969,0.289951
1970,0.283235
1971,0.305473
1972,0.312265
1973,0.293619
1974,0.271088
1975,0.293265
1976,0.313956
1977,0.313231
1978,0.329560
1979,0.336199
1980,0.333479
1981,0.354643
1982,0.354333
1983,0.405468
1984,0.394994
1985,0.378329
1986,0.386900
1987,0.394949
1988,0.425503
1989,0.411552
1990,0.425435
1991,0.419204
1992,0.407144
1993,0.406681
1994,0.408373
1995,0.383264
1996,0.367902
1997,0.373590
1998,0.375894
1999,0.396360
2000,0.408584
2001,0.423244
2002,0.442832
2003,0.434453
2004,0.457031
2005,0.478605
2006,0.474738
2007,0.492913
2008,0.491947
2009,0.507336
2010,0.518925
2011,0.528678
2012,0.511240
2013,0.496441
2014,0.489251
2015,0.495974
2016,0.461936
2017,0.455677
2018,0.438006
2019,0.415487
2020,0.401265
