year,mean_r
1969,0.301437
1970,0.298618
1971,0.316185
1972,0.317819
1973,0.300389
1974,0.286813
1975,0.314436
1976,0.345534
1977,0.331147
1978,0.350274
1979,0.354442
1980,0.348507
1981,0.366760
1982,0.368370
1983,0.398145
1984,0.386476
1985,0.372970
1986,0.383216
1987,0.390532
1988,0.417211
1989,0.413422
1990,0.423351
1991,0.425241
1992,0.420523
1993,0.422210
1994,0.428210
1995,0.394649
1996,0.376022
1997,0.387161
1998,0.395917
1999,0.415294
2000,0.423474
2001,0.438528
2002,0.463431
2003,0.454991
2004,0.475977
2005,0.493225
2006,0.488535
2007,0.507132
2008,0.505561
2009,0.510005
2010,0.516194
2011,0.514332
2012,0.494922
2013,0.484783
2014,0.478919
2015,0.493585
2016,0.469118
2017,0.477958
2018,0.473361
2019,0.464189
2020,0.448747
