year,CA-BOU,CA-Ca1,CA-Ca2,CA-Cbo,CA-EM1,CA-Gro,CA-HPC,CA-LP1,CA-Qc2,CA-Qfo,CA-SCB,CA-SCC,CA-SF1,CA-SF2,CA-TP1,CA-TP3,CA-TPD,US-A32,US-A74,US-ALQ,US-BZB,US-BZF,US-BZS,US-BZo,US-Bi1,US-Bi2,US-CRT,US-CS1,US-CS2,US-CS3,US-CS4,US-CS5,US-CS6,US-CS8,US-CdM,US-Cop,US-Dmg,US-EML,US-Fcr,US-Fmf,US-Fuf,US-Fwf,US-GLE,US-Ho1,US-Ho2,US-ICh,US-ICs,US-ICt,US-KFS,US-KLS,US-KS1,US-KS2,US-Kon,US-LS2,US-MMS,US-MOz,US-Me2,US-Me3,US-Me6,US-Mo1,US-Mo2,US-Mo3,US-Myb,US-NC1,US-NC3,US-NC4,US-Ne1,US-ORv,US-OWC,US-Oho,US-PFL,US-PFb,US-PFc,US-PFd,US-PFk,US-PFm,US-PFn,US-PFp,US-PFq,US-PFt,US-RRC,US-Rls,US-Rms,US-Ro1,US-Ro2,US-Ro4,US-Ro5,US-Ro6,US-Rpf,US-Rwf,US-Rws,US-Sne,US-Snf,US-Srr,US-StJ,US-Syv,US-Ton,US-Tw1,US-Tw2,US-Tw3,US-Tw4,US-Tw5,US-UM3,US-UMB,US-UMd,US-Var,US-WPT,US-Wi0,US-Wi1,US-Wi3,US-Wi4,US-Wi5,US-Wi6,US-Wi7,US-Wi8,US-Wi9,US-YK2,US-xAB,US-xAE,US-xBA,US-xBL,US-xBN,US-xBR,US-xCL,US-xCP,US-xDC,US-xDJ,US-xDL,US-xDS,US-xGR,US-xHA,US-xHE,US-xJE,US-xJR,US-xKA,US-xKZ,US-xMB,US-xML,US-xNG,US-xNQ,US-xRM,US-xSB,US-xSC,US-xSE,US-xSJ,US-xSL,US-xSR,US-xST,US-xTA,US-xTL,US-xTR,US-xUK,US-xUN,US-xWD,US-xYE,BE-Bra,BE-Dor,BE-Lcr,BE-Lon,BE-Maa,BE-Vie,CH-Aws,CH-Cha,CH-Dav,CH-Fru,CH-Lae,CH-Oe2,CZ-BK1,CZ-KrP,CZ-Lnz,CZ-RAJ,CZ-Stn,CZ-wet,DE-Akm,DE-Geb,DE-Gri,DE-Hai,DE-HoH,DE-Hzd,DE-Kli,DE-Obe,DE-RuR,DE-RuS,DE-RuW,DE-Tha,DK-Gds,DK-Sor,ES-Abr,ES-Agu,ES-Cnd,ES-LJu,ES-LM1,ES-LM2,FI-Hyy,FI-Ken,FI-Let,FI-Qvd,FI-Sii,FI-Var,FR-Aur,FR-Bil,FR-FBn,FR-Fon,FR-Gri,FR-Hes,FR-LGt,FR-Lam,FR-Tou,GF-Guy,GL-Dsk,IE-Cra,IL-Yat,IT-BCi,IT-BFt,IT-Cp2,IT-Lav,IT-Lsn,IT-MBo,IT-Ren,IT-SR2,IT-Tor,RU-Fy2,RU-Fyo,SE-Deg,SE-Htm,SE-Nor,SE-Ros,SE-Svb
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,2239.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,1117.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680.7,,,,,,,,,,,,,,,,,,,,,,,,1553.62,,2394.62,,,,,,,1531.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,1338.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658.13,,,978.778,,,,,,,,,,,,,,,,,,,,,1349.97,,1529.42,,,,,,,1004.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,1911.14,,1465.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658.61,,,1051.5,,,,,,,,,,,,,,,,,,,,,1461.04,,1703.39,,,,,,,965.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2226.83,,,,,
1999,,1793.43,,1152.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540.02,,,,,1771.33,,,1173.53,,,,,,,,,,,,,,,,,,,,,1513.1,,1538.17,,,,,,,1005.9,,,,,,,,,,,,,,,,,,,,,,,,,814.391,,,,1265.5,,,,,
2000,,1731.61,620.173,1241.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1558.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365.56,,,,,1489.85,,,1095.01,,,,,,,,,,,,,1805.49,,,,,,,,1562.04,,1707.65,,,,,,,1119.11,,,,,,,,,,,,,,,,,,163.12,,,,,,,1281.8,,,,1138.69,,,,,
2001,,1952.55,293.536,1374.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.336,,,,,,,,,,,,,,,,,,,1672.48,,,,,,,,,,,,2935.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.357,645.014,,,,,,,,,716.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202.5,,,,,1622.5,,,1112.28,,,,,,,,,,,1224.78,,1678.67,,,,,,,,1561.31,,1699.13,,,,,,,976.699,,,,,,,,,,,,,,,,,,735.079,,,,,,,939.929,,,,1554.93,271.526,,,,
2002,,1902.48,504.979,1272.65,,,,,,,,,,1145.23,,,,,,,,,,,,,,,,,,,,,,72.2578,,,,,,,,,,,,,,,1832.8,,,,1792.8,,1390.81,,,,,,,,,,1785.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973.682,1055.9,,,,,,,,,560.088,,972.345,,1002.38,989.115,,489.185,,676.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231.4,,,,,1820.54,,,1057.49,,,,,,,,,,,873.217,,1650.79,,,,,,,,1569.03,,1593.57,,,,,,,1030.2,,,,,,,,,,,,,,,,,,701.144,,,,,,,1287.86,,,,1317.2,377.897,,,,
2003,,1962.99,530.043,1296.47,,1147.18,,,,981.956,,,1039.89,1172.32,155.48,1271.07,,,,,,,,,,,,,,,,,,,,128.117,,,,,,,,,,,,,,,1150.21,1920.62,,,1657.35,,1532.83,,,,,,,,,,1688.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022.47,989.999,,,,,,,,,777.403,,,1235.38,,1477.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1754.37,,,1153.47,,,,,,,,,,,941.895,,1524.9,,,,,,,,1274.96,,1562.23,,,,,,,1019.66,,,,,,,,,,,,,,,,,,996.72,,,,2115.13,,1231.65,1367.26,,,,1287.54,438.019,,,,
