year,CA-BOU,CA-Ca1,CA-Ca2,CA-Cbo,CA-EM1,CA-Gro,CA-HPC,CA-LP1,CA-Qc2,CA-Qfo,CA-SCB,CA-SCC,CA-SF1,CA-SF2,CA-TP1,CA-TP3,CA-TPD,US-A32,US-A74,US-ALQ,US-BZB,US-BZF,US-BZS,US-BZo,US-Bi1,US-Bi2,US-CRT,US-CS1,US-CS2,US-CS3,US-CS4,US-CS5,US-CS6,US-CS8,US-CdM,US-Cop,US-Dmg,US-EML,US-Fcr,US-Fmf,US-Fuf,US-Fwf,US-GLE,US-Ho1,US-Ho2,US-ICh,US-ICs,US-ICt,US-KFS,US-KLS,US-KS1,US-KS2,US-Kon,US-LS2,US-MMS,US-MOz,US-Me2,US-Me3,US-Me6,US-Mo1,US-Mo2,US-Mo3,US-Myb,US-NC1,US-NC3,US-NC4,US-Ne1,US-ORv,US-OWC,US-Oho,US-PFL,US-PFb,US-PFc,US-PFd,US-PFk,US-PFm,US-PFn,US-PFp,US-PFq,US-PFt,US-RRC,US-Rls,US-Rms,US-Ro1,US-Ro2,US-Ro4,US-Ro5,US-Ro6,US-Rpf,US-Rwf,US-Rws,US-Sne,US-Snf,US-Srr,US-StJ,US-Syv,US-Ton,US-Tw1,US-Tw2,US-Tw3,US-Tw4,US-Tw5,US-UM3,US-UMB,US-UMd,US-Var,US-WPT,US-Wi0,US-Wi1,US-Wi3,US-Wi4,US-Wi5,US-Wi6,US-Wi7,US-Wi8,US-Wi9,US-YK2,US-xAB,US-xAE,US-xBA,US-xBL,US-xBN,US-xBR,US-xCL,US-xCP,US-xDC,US-xDJ,US-xDL,US-xDS,US-xGR,US-xHA,US-xHE,US-xJE,US-xJR,US-xKA,US-xKZ,US-xMB,US-xML,US-xNG,US-xNQ,US-xRM,US-xSB,US-xSC,US-xSE,US-xSJ,US-xSL,US-xSR,US-xST,US-xTA,US-xTL,US-xTR,US-xUK,US-xUN,US-xWD,US-xYE,BE-Bra,BE-Dor,BE-Lcr,BE-Lon,BE-Maa,BE-Vie,CH-Aws,CH-Cha,CH-Dav,CH-Fru,CH-Lae,CH-Oe2,CZ-BK1,CZ-KrP,CZ-Lnz,CZ-RAJ,CZ-Stn,CZ-wet,DE-Akm,DE-Geb,DE-Gri,DE-Hai,DE-HoH,DE-Hzd,DE-Kli,DE-Obe,DE-RuR,DE-RuS,DE-RuW,DE-Tha,DK-Gds,DK-Sor,ES-Abr,ES-Agu,ES-Cnd,ES-LJu,ES-LM1,ES-LM2,FI-Hyy,FI-Ken,FI-Let,FI-Qvd,FI-Sii,FI-Var,FR-Aur,FR-Bil,FR-FBn,FR-Fon,FR-Gri,FR-Hes,FR-LGt,FR-Lam,FR-Tou,GF-Guy,GL-Dsk,IE-Cra,IL-Yat,IT-BCi,IT-BFt,IT-Cp2,IT-Lav,IT-Lsn,IT-MBo,IT-Ren,IT-SR2,IT-Tor,RU-Fy2,RU-Fyo,SE-Deg,SE-Htm,SE-Nor,SE-Ros,SE-Svb
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,2759.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,1499.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2386,,,,,,,,,,,,,,,,,,,,,,,,1281.39,,2676.44,,,,,,,1773.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,1635.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1655.09,,,1364.78,,,,,,,,,,,,,,,,,,,,,1372.03,,1551.82,,,,,,,1046.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,2282.29,,1608.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1726.9,,,1339.81,,,,,,,,,,,,,,,,,,,,,1473.19,,1786.09,,,,,,,1082.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977.3,,,,,
1999,,2891.45,,1507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253.71,,,,,,,,,,,1604.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1451.3,,,,,1726.83,,,1682.99,,,,,,,,,,,,,,,,,,,,,1605.51,,1878.32,,,,,,,1014.91,,,,,,,,,,,,,,,,,,,,,,,,,868.809,,,,1474.1,,,,,
2000,,2430.19,,1501.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499.67,,,,,,,,,,,1693.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327.39,,,,,1555.61,,,1699.23,,,,,,,,,,,,,1840.88,,,,,,,,1560.64,,1939.98,,,,,,,1065.84,,,,,,,,,,,,,,,,,,186.812,,,,,,,1204.15,,,,1514.84,,,,,
2001,,2375.27,337.144,1203.01,,,,,,,,,,1339.38,,,,,,,,,,,,,,,,,,,,,,117.981,,,,,,,,,,,,,,,,,,,1804.15,,,,,,,,,,,,1703.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.99,782.373,,,,,,,,,705.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1108.93,,,,,1707.16,,,1526.9,,,,,,,,,,,1187.05,,1690.98,,,,,,,,1545.4,,1873.11,,,,,,,1028.18,,,,,,,,,,,,,,,,,,677.834,,,,,,,931.948,,,,1660.17,262.485,,,,
2002,,2271.62,542.479,1317.55,,,,,,,,,,1160.19,,,,,,,,,,,,,,,,,,,,,,59.6256,,,,,,,,,1652.5,,,,,,1908.29,,,,1815.87,,1444.23,,,,,,,,,,1742.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032.75,1018.75,,,,,,,,,640.575,,1445.68,,1293.52,2150.89,,691.613,,713.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1137.88,,,,,1732.78,,,1596.27,,,,,,,,,,,886.643,,1749.58,,,,,,,,1638.67,,1838.39,,,,,,,1094.45,,,,,,,,,,,,,,,,,,672.535,,,,,,,1367.91,,,,1246.93,375.489,,,,
2003,,2088.63,597.512,1349.91,,1922.7,,,,841.812,,,1147.46,1165.74,253.909,1299.03,,,,,,,,,,,,,,,,,,,,98.6774,,,,,,,,,1356.33,,,,,,841.726,1974.34,,647.798,1830.13,,1381.86,,,,,,,,,,1581.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1106.25,1110.55,,,,,,,,,923.19,,,1744.44,1327.92,2370.03,,199.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8042,,,,,1745.64,,,1614.05,,,,,,,,,,,973.393,,1582.43,,,,,,,,1241.35,,1883.3,,,,,,,1007.06,,,,,,,,,,,,,,,,,,856.281,,,,2017.07,,1300.74,1297.98,,,,1437.4,453.139,,,,
